Date Lifted,Exercise,Weight (kg),Weight (lb),Reps,Bodyweight (kg),Bodyweight (lb),Percentile (%),Warmup
2022-11-17,Bench Press,60,132.3,5,75,165.4,19.4,0
2022-11-17,Bench Press,60,132.3,5,75,165.4,19.4,0
2022-11-17,Bench Press,60,132.3,5,75,165.4,19.4,0
2022-11-17,Bench Press,75,165.4,2,75,165.4,30.6,0
2022-11-17,Bench Press,67.5,148.8,3,75,165.4,23.8,0
2022-11-17,Bench Press,60,132.3,5,75,165.4,19.4,0
2022-11-17,Pull Ups,0,0,9,75,165.4,32.7,0
2022-11-17,Dumbbell Row,30,66.1,10,75,165.4,47.4,0
2022-11-17,Dumbbell Row,25,55.1,6,75,165.4,23.5,0
2022-11-17,Dumbbell Row,20,44.1,5,75,165.4,12,0
2022-11-17,Deadlift,100,220.5,4,75,165.4,20.9,0
2022-11-17,Deadlift,90,198.4,3,75,165.4,11.8,0
2022-11-17,Deadlift,80,176.4,5,75,165.4,9.1,0
2022-11-17,Deadlift,70,154.3,3,75,165.4,3.5,0
2022-11-15,Squat,95,209.4,4,75,165.4,31.8,0
2022-11-15,Squat,85,187.4,3,75,165.4,19.4,0
2022-11-15,Squat,75,165.4,5,75,165.4,15.1,0
2022-11-15,Shoulder Press,37.5,82.7,5,75,165.4,18.2,0
2022-11-15,Shoulder Press,37.5,82.7,5,75,165.4,18.2,0
2022-11-15,Shoulder Press,37.5,82.7,5,75,165.4,18.2,0
2022-11-15,Shoulder Press,47.5,104.7,2,75,165.4,29,0
2022-11-15,Shoulder Press,42.5,93.7,3,75,165.4,22.5,0
2022-11-15,Shoulder Press,37.5,82.7,5,75,165.4,18.2,0
2022-11-15,Pull Ups,10,22.1,4,75,165.4,27.5,0
2022-11-15,Pull Ups,10,22.1,5,75,165.4,31.4,0
2022-11-15,Pull Ups,10,22.1,6,75,165.4,35.7,0
2022-11-12,Pull Ups,0,0,5,75,165.4,17.5,0
2022-11-12,Pull Ups,0,0,7,75,165.4,24,0
2022-11-12,Pull Ups,0,0,7,75,165.4,24,0
2022-11-12,Pull Ups,0,0,10,75,165.4,37.6,0
2022-11-12,Bench Press,52.5,115.7,5,75,165.4,11.6,0
2022-11-12,Bench Press,52.5,115.7,5,75,165.4,11.6,0
2022-11-12,Bench Press,52.5,115.7,5,75,165.4,11.6,0
2022-11-12,Bench Press,52.5,115.7,5,75,165.4,11.6,0
2022-11-12,Bench Press,52.5,115.7,5,75,165.4,11.6,0
2022-11-12,Bench Press,67.5,148.8,6,75,165.4,32.2,0
2022-11-12,Bench Press,60,132.3,5,75,165.4,19.4,0
2022-11-12,Bench Press,52.5,115.7,5,75,165.4,11.6,0
2022-11-10,Pull Ups,10,22.1,5,75,165.4,31.4,0
2022-11-10,Pull Ups,10,22.1,5,75,165.4,31.4,0
